Hit Count,Page No,Product URL,Product Name,Product Price,Rating,Number of Reviews
53,4,https://www.amazon.in//VIP-Endura-Puller-Brown-Duffle/dp/B0B527KJQZ/ref=sr_1_55?crid=2M096C61O4MLT&keywords=bags&qid=1679491551&sprefix=ba%2Caps%2C283&sr=8-55,VIP Polypropylene 48 Cms Travel Bag(DFENDEBRN_Brown),899,4.3,407
54,4,https://www.amazon.in//Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y3KCN32/ref=sr_1_56?crid=2M096C61O4MLT&keywords=bags&qid=1679491551&sprefix=ba%2Caps%2C283&sr=8-56,"Tabelito® Casual 15.6 Inch Laptop Bag (39.6cm), 25 LTR Water Repellent Backpack Laptop Apple/ Dell/ Lenovo/ Asus/ Hp/ Samsung/ Mi/ MacBook/ Ultrabook/ Thinkpad/ Ideapad/ Surfacepro Men Women (Blue)",549,4.2,"1,599"
55,4,https://www.amazon.in//Sfane-Women-Trendy-Black-Duffel/dp/B07GCR84D9/ref=sr_1_57?crid=2M096C61O4MLT&keywords=bags&qid=1679491551&sprefix=ba%2Caps%2C283&sr=8-57,"Sfane Polyester 9.05 Black Men & Women Trendy Black Sports Duffle Gym Bag, Shoulder Bag",297,4.2,930
56,4,https://www.amazon.in//BennettTM-Shoulder-Messenger-Repellent-Charcoal/dp/B09CV24TMK/ref=sr_1_58?crid=2M096C61O4MLT&keywords=bags&qid=1679491551&sprefix=ba%2Caps%2C283&sr=8-58,Bennett™ Mystic Unisex Adult Men's Laptop Bag 15.6 inch Side Shoulder Briefcase Satchel Messenger Business Bags for Men & Women Front Pocket for Laptop Accessories - Black (6 Month Warranty),512,4.0,"5,229"
57,4,https://www.amazon.in//Nivia-5227-Pulse-Junior-Others/dp/B08D7QG33Z/ref=sr_1_61?crid=2M096C61O4MLT&keywords=bags&qid=1679491551&sprefix=ba%2Caps%2C283&sr=8-61,"Nivia 5227 Pulse Junior Bag, Others (Orange) (Sky Blue)",294,3.8,156
58,4,https://www.amazon.in//Trajectory-Elegant-15-6-Laptop-Office/dp/B09RK6NCGC/ref=sr_1_62?crid=2M096C61O4MLT&keywords=bags&qid=1679491551&sprefix=ba%2Caps%2C283&sr=8-62,Trajectory 100% Vegan Leather 16 Inch Laptop Office Messenger bag for all laptop like Apple MacBook with 2 Years Warranty and Spacious Multiple Compartment with Expandable Bottom Used as Shoulder and Handbag for Men and Women,"1,399",4.2,313
59,4,https://www.amazon.in//Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_63?crid=2M096C61O4MLT&keywords=bags&qid=1679491551&sprefix=ba%2Caps%2C283&sr=8-63,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,899,3.9,"9,061"
60,4,https://www.amazon.in//Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF1XJXY/ref=sr_1_64?crid=2M096C61O4MLT&keywords=bags&qid=1679491551&sprefix=ba%2Caps%2C283&sr=8-64,"Genie Flamenco Laptop Backpack for Women, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College",640,4.4,"1,025"
61,4,https://www.amazon.in//Half-Moon-Spacious-Backpack-Compartment/dp/B0BLVQ9NTD/ref=sr_1_65?crid=2M096C61O4MLT&keywords=bags&qid=1679491551&sprefix=ba%2Caps%2C283&sr=8-65,Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets,699,3.7,117
62,4,https://www.amazon.in//F-Gear-Enzo-Black-Blue-Waist-Bag/dp/B0862LXJYT/ref=sr_1_66?crid=2M096C61O4MLT&keywords=bags&qid=1679491551&sprefix=ba%2Caps%2C283&sr=8-66,F Gear Enzo Sports Waist Bag (.Black Blue),200,4.2,"1,114"
